Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
BDX,BECTON DICKINSON,Health Care,Equity,"11,461,094.04",0.06,"11,461,094.04","79,332.00",144.47,United States,NYSE,USD,1.00,--
NDAQ,NASDAQ INC,Financials,Equity,"11,287,595.55",0.06,"11,287,595.55","124,135.00",90.93,United States,NASDAQ,USD,1.00,--
EME,EMCOR GROUP INC,Industrials,Equity,"11,235,692.43",0.06,"11,235,692.43","12,081.00",930.03,United States,NYSE,USD,1.00,--
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Equity,"11,212,196.74",0.06,"11,212,196.74","148,094.00",75.71,United States,NYSE,USD,1.00,--
MSCI,MSCI INC,Financials,Equity,"11,155,099.89",0.06,"11,155,099.89","19,581.00",569.69,United States,NYSE,USD,1.00,--
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Equity,"10,969,835.80",0.06,"10,969,835.80","192,995.00",56.84,United States,NYSE,USD,1.00,--
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,"10,819,847.54",0.05,"10,819,847.54","54,029.00",200.26,United States,NASDAQ,USD,1.00,--
CBRE,CBRE GROUP INC CLASS A,Real Estate,Equity,"10,760,635.35",0.05,"10,760,635.35","81,243.00",132.45,United States,NYSE,USD,1.00,--
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,"10,659,988.22",0.05,"10,659,988.22","130,942.00",81.41,United States,NYSE,USD,1.00,--
KR,KROGER,Consumer Staples,Equity,"10,647,528.22",0.05,"10,647,528.22","159,418.00",66.79,United States,NYSE,USD,1.00,--
XYZ,BLOCK INC CLASS A,Financials,Equity,"10,634,794.28",0.05,"10,634,794.28","148,676.00",71.53,United States,NYSE,USD,1.00,--
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,Equity,"10,598,024.75",0.05,"10,598,024.75","136,309.00",77.75,United States,NYSE,USD,1.00,--
ED,CONSOLIDATED EDISON INC,Utilities,Equity,"10,547,912.67",0.05,"10,547,912.67","98,459.00",107.13,United States,NYSE,USD,1.00,--
CBOE,CBOE GLOBAL MARKETS INC,Financials,Equity,"10,443,394.39",0.05,"10,443,394.39","29,117.00",358.67,United States,Cboe BZX,USD,1.00,--
GRMN,GARMIN LTD,Consumer Discretionary,Equity,"10,436,823.60",0.05,"10,436,823.60","44,520.00",234.43,United States,NYSE,USD,1.00,--
HIG,HARTFORD INSURANCE GROUP INC,Financials,Equity,"10,407,432.42",0.05,"10,407,432.42","77,517.00",134.26,United States,NYSE,USD,1.00,--
CCI,CROWN CASTLE INC,Real Estate,Equity,"10,375,396.54",0.05,"10,375,396.54","118,834.00",87.31,United States,NYSE,USD,1.00,--
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Financials,Equity,"10,360,011.12",0.05,"10,360,011.12","117,354.00",88.28,United States,NASDAQ,USD,1.00,--
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,"10,293,368.40",0.05,"10,293,368.40","353,724.00",29.10,United States,NASDAQ,USD,1.00,--
IRM,IRON MOUNTAIN INC,Real Estate,Equity,"10,280,298.00",0.05,"10,280,298.00","80,472.00",127.75,United States,NYSE,USD,1.00,--
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,"10,197,680.95",0.05,"10,197,680.95","34,751.00",293.45,United States,NASDAQ,USD,1.00,--
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,"10,121,218.29",0.05,"10,121,218.29","50,909.00",198.81,United States,NASDAQ,USD,1.00,--
JBL,JABIL INC,Information Technology,Equity,"10,095,855.28",0.05,"10,095,855.28","28,492.00",354.34,United States,NYSE,USD,1.00,--
PCG,PG&E CORP,Utilities,Equity,"10,047,706.82",0.05,"10,047,706.82","597,722.00",16.81,United States,NYSE,USD,1.00,--
WEC,WEC ENERGY GROUP INC,Utilities,Equity,"9,963,870.00",0.05,"9,963,870.00","89,250.00",111.64,United States,NYSE,USD,1.00,--
VMC,VULCAN MATERIALS,Materials,Equity,"9,961,008.90",0.05,"9,961,008.90","36,210.00",275.09,United States,NYSE,USD,1.00,--
HUM,HUMANA INC,Health Care,Equity,"9,932,797.35",0.05,"9,932,797.35","32,961.00",301.35,United States,NYSE,USD,1.00,--
DHI,D R HORTON INC,Consumer Discretionary,Equity,"9,899,576.96",0.05,"9,899,576.96","71,036.00",139.36,United States,NYSE,USD,1.00,--
PRU,PRUDENTIAL FINANCIAL INC,Financials,Equity,"9,856,632.00",0.05,"9,856,632.00","95,510.00",103.20,United States,NYSE,USD,1.00,--
SYY,SYSCO CORP,Consumer Staples,Equity,"9,680,001.60",0.05,"9,680,001.60","132,512.00",73.05,United States,NYSE,USD,1.00,--
HAL,HALLIBURTON,Energy,Equity,"9,630,603.47",0.05,"9,630,603.47","233,243.00",41.29,United States,NYSE,USD,1.00,--
MLM,MARTIN MARIETTA MATERIALS INC,Materials,Equity,"9,428,594.93",0.05,"9,428,594.93","16,391.00",575.23,United States,NYSE,USD,1.00,--
Q,QNITY ELECTRONICS INC,Information Technology,Equity,"9,380,606.84",0.05,"9,380,606.84","57,157.00",164.12,United States,NYSE,USD,1.00,--
EQT,EQT CORP,Energy,Equity,"9,357,752.83",0.05,"9,357,752.83","165,419.00",56.57,United States,NYSE,USD,1.00,--
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,"9,358,222.35",0.05,"9,358,222.35","29,433.00",317.95,United States,NASDAQ,USD,1.00,--
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"9,200,257.20",0.05,"9,200,257.20","121,890.00",75.48,United States,NYSE,USD,1.00,--
ACGL,ARCH CAPITAL GROUP LTD,Financials,Equity,"9,137,397.28",0.05,"9,137,397.28","97,768.00",93.46,United States,NASDAQ,USD,1.00,--
KVUE,KENVUE INC,Consumer Staples,Equity,"9,000,804.33",0.05,"9,000,804.33","523,607.00",17.19,United States,NYSE,USD,1.00,--
CASY,CASEYS GENERAL STORES INC,Consumer Staples,Equity,"8,968,723.08",0.05,"8,968,723.08","10,221.00",877.48,United States,NASDAQ,USD,1.00,--
STLD,STEEL DYNAMICS INC,Materials,Equity,"8,953,042.00",0.05,"8,953,042.00","38,150.00",234.68,United States,NASDAQ,USD,1.00,--
WAT,WATERS CORP,Health Care,Equity,"8,925,363.06",0.05,"8,925,363.06","26,786.00",333.21,United States,NYSE,USD,1.00,--
CCL,CARNIVAL CORP,Consumer Discretionary,Equity,"8,851,802.40",0.04,"8,851,802.40","351,262.00",25.20,United States,NYSE,USD,1.00,--
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,"8,774,138.94",0.04,"8,774,138.94","77,469.00",113.26,United States,NYSE,USD,1.00,--
KMB,KIMBERLY CLARK CORP,Consumer Staples,Equity,"8,769,709.06",0.04,"8,769,709.06","90,718.00",96.67,United States,NASDAQ,USD,1.00,--
MTB,M&T BANK CORP,Financials,Equity,"8,631,410.22",0.04,"8,631,410.22","41,953.00",205.74,United States,NYSE,USD,1.00,--
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,Equity,"8,572,953.66",0.04,"8,572,953.66","89,283.00",96.02,United States,NASDAQ,USD,1.00,--
NTRS,NORTHERN TRUST CORP,Financials,Equity,"8,546,886.00",0.04,"8,546,886.00","52,020.00",164.30,United States,NASDAQ,USD,1.00,--
HBAN,HUNTINGTON BANCSHARES INC,Financials,Equity,"8,541,403.53",0.04,"8,541,403.53","550,703.00",15.51,United States,NASDAQ,USD,1.00,--
VICI,VICI PPTYS INC,Real Estate,Equity,"8,361,044.72",0.04,"8,361,044.72","299,894.00",27.88,United States,NYSE,USD,1.00,--
DTE,DTE ENERGY,Utilities,Equity,"8,218,457.60",0.04,"8,218,457.60","57,152.00",143.80,United States,NYSE,USD,1.00,--
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,Equity,"8,190,712.76",0.04,"8,190,712.76","57,604.00",142.19,United States,NYSE,USD,1.00,--
ALAB,ASTERA LABS INC,Information Technology,Equity,"8,158,561.12",0.04,"8,158,561.12","35,683.00",228.64,United States,NASDAQ,USD,1.00,--
RMD,RESMED INC,Health Care,Equity,"8,124,314.88",0.04,"8,124,314.88","40,128.00",202.46,United States,NYSE,USD,1.00,--
TDY,TELEDYNE TECHNOLOGIES INC,Information Technology,Equity,"8,103,326.40",0.04,"8,103,326.40","12,690.00",638.56,United States,NYSE,USD,1.00,--
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,Equity,"8,095,585.26",0.04,"8,095,585.26","43,869.00",184.54,United States,NASDAQ,USD,1.00,--
AXON,AXON ENTERPRISE INC,Industrials,Equity,"8,057,271.64",0.04,"8,057,271.64","20,756.00",388.19,United States,NASDAQ,USD,1.00,--
AEE,AMEREN CORP,Utilities,Equity,"8,042,667.20",0.04,"8,042,667.20","73,382.00",109.60,United States,NYSE,USD,1.00,--
FTI,TECHNIPFMC PLC,Energy,Equity,"8,033,217.29",0.04,"8,033,217.29","110,029.00",73.01,United States,NYSE,USD,1.00,--
DOV,DOVER CORP,Industrials,Equity,"8,003,988.04",0.04,"8,003,988.04","37,339.00",214.36,United States,NYSE,USD,1.00,--
CPRT,COPART INC,Industrials,Equity,"7,933,068.45",0.04,"7,933,068.45","242,973.00",32.65,United States,NASDAQ,USD,1.00,--
FISV,FISERV INC,Financials,Equity,"7,914,111.48",0.04,"7,914,111.48","148,038.00",53.46,United States,NASDAQ,USD,1.00,--
IQV,IQVIA HOLDINGS INC,Health Care,Equity,"7,891,731.16",0.04,"7,891,731.16","46,237.00",170.68,United States,NYSE,USD,1.00,--
CNC,CENTENE CORP,Health Care,Equity,"7,865,389.10",0.04,"7,865,389.10","133,993.00",58.70,United States,NYSE,USD,1.00,--
ATO,ATMOS ENERGY CORP,Utilities,Equity,"7,866,217.17",0.04,"7,866,217.17","43,491.00",180.87,United States,NYSE,USD,1.00,--
IR,INGERSOLL RAND INC,Industrials,Equity,"7,852,080.60",0.04,"7,852,080.60","109,330.00",71.82,United States,NYSE,USD,1.00,--
OTIS,OTIS WORLDWIDE CORP,Industrials,Equity,"7,813,036.40",0.04,"7,813,036.40","106,940.00",73.06,United States,NYSE,USD,1.00,--
PAYX,PAYCHEX INC,Industrials,Equity,"7,809,667.11",0.04,"7,809,667.11","87,917.00",88.83,United States,NASDAQ,USD,1.00,--
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity,"7,806,927.24",0.04,"7,806,927.24","124,572.00",62.67,United States,NASDAQ,USD,1.00,--
CW,CURTISS WRIGHT CORP,Industrials,Equity,"7,738,907.88",0.04,"7,738,907.88","10,307.00",750.84,United States,NYSE,USD,1.00,--
BIIB,BIOGEN INC,Health Care,Equity,"7,687,907.01",0.04,"7,687,907.01","40,173.00",191.37,United States,NASDAQ,USD,1.00,--
TWLO,TWILIO INC CLASS A,Information Technology,Equity,"7,645,334.20",0.04,"7,645,334.20","38,605.00",198.04,United States,NYSE,USD,1.00,--
CNP,CENTERPOINT ENERGY INC,Utilities,Equity,"7,634,696.34",0.04,"7,634,696.34","179,471.00",42.54,United States,NYSE,USD,1.00,--
NVT,NVENT ELECTRIC PLC,Industrials,Equity,"7,604,661.40",0.04,"7,604,661.40","43,715.00",173.96,United States,NYSE,USD,1.00,--
RJF,RAYMOND JAMES INC,Financials,Equity,"7,582,792.94",0.04,"7,582,792.94","48,742.00",155.57,United States,NYSE,USD,1.00,--
HSY,HERSHEY FOODS,Consumer Staples,Equity,"7,518,591.60",0.04,"7,518,591.60","39,505.00",190.32,United States,NYSE,USD,1.00,--
STRL,STERLING INFRASTRUCTURE INC,Industrials,Equity,"7,506,969.32",0.04,"7,506,969.32","8,444.00",889.03,United States,NASDAQ,USD,1.00,--
NRG,NRG ENERGY INC,Utilities,Equity,"7,496,494.40",0.04,"7,496,494.40","55,645.00",134.72,United States,NYSE,USD,1.00,--
DOW,DOW INC,Materials,Equity,"7,489,232.38",0.04,"7,489,232.38","193,121.00",38.78,United States,NYSE,USD,1.00,--
